Wall time,Step,Value
1598337064.522881,0,-317.3530578613281
1598337122.603714,1,-251.40499877929688
1598337138.162533,2,-197.6495819091797
1598337153.778331,3,-159.590576171875
1598337169.50029,4,-127.98228454589844
1598337185.27584,5,-103.79254913330078
1598337201.11362,6,-79.58783721923828
1598337217.014523,7,-63.42334747314453
1598337232.926488,8,-50.46012496948242
1598337248.821098,9,-37.66325378417969
1598337264.868872,10,-30.09461212158203
1598337282.248419,11,-22.841087341308594
1598337298.383707,12,-16.048009872436523
1598337314.508807,13,-12.094888687133789
1598337330.709012,14,-9.107744216918945
1598337346.882415,15,-5.803849220275879
1598337363.149213,16,-5.615797519683838
1598337379.399703,17,-4.632812976837158
1598337395.627353,18,-3.8797390460968018
1598337411.890271,19,-3.4084272384643555
1598337428.159754,20,-3.556950569152832
1598337445.859215,21,-3.8276913166046143
1598337462.045984,22,-3.712214469909668
1598337478.354339,23,-3.474078416824341
1598337494.694496,24,-3.5404016971588135
1598337510.94467,25,-3.068678855895996
1598337527.235841,26,-3.2600290775299072
1598337543.499761,27,-2.875162363052368
1598337559.78992,28,-3.3787360191345215
1598337576.073417,29,-3.6413497924804688
1598337592.318266,30,-3.3618195056915283
1598337610.158437,31,-3.445030689239502
1598337626.424815,32,-3.703479766845703
1598337642.689253,33,-4.619498252868652
1598337658.986334,34,-5.208965301513672
1598337675.246093,35,-4.868752479553223
1598337691.583445,36,-6.27409029006958
1598337707.832833,37,-7.135603904724121
1598337724.123534,38,-7.765791893005371
1598337740.440612,39,-8.683374404907227
1598337756.752566,40,-9.51201057434082
1598337774.363793,41,-10.200455665588379
1598337790.67601,42,-10.754288673400879
1598337806.946473,43,-11.44466495513916
1598337823.241776,44,-11.491734504699707
1598337839.5473,45,-11.601526260375977
1598337855.795972,46,-12.055224418640137
1598337872.10584,47,-12.39339828491211
1598337888.402601,48,-12.683615684509277
1598337904.644957,49,-12.93278694152832
1598337920.952895,50,-13.02368450164795
1598337938.669174,51,-13.144964218139648
1598337954.899108,52,-13.248007774353027
1598337971.169287,53,-12.876214981079102
1598337987.430121,54,-12.730890274047852
1598338003.663943,55,-13.356178283691406
1598338019.918571,56,-13.902043342590332
1598338036.158877,57,-13.76862621307373
1598338052.429057,58,-13.10877799987793
1598338068.772952,59,-11.971599578857422
1598338084.999544,60,-12.984475135803223
1598338102.727615,61,-12.98785400390625
1598338118.957026,62,-13.330796241760254
1598338135.19796,63,-15.80207633972168
1598338151.509054,64,-14.316425323486328
1598338167.780844,65,-14.004327774047852
1598338184.031605,66,-13.699825286865234
1598338200.3277,67,-14.234786987304688
1598338216.602807,68,-14.706546783447266
1598338232.963105,69,-14.083601951599121
1598338249.23516,70,-13.833677291870117
1598338266.982497,71,-14.059279441833496
1598338283.216936,72,-14.35894775390625
1598338299.451091,73,-14.563864707946777
1598338315.768358,74,-14.194806098937988
1598338332.003877,75,-14.094841957092285
1598338348.292943,76,-14.246621131896973
1598338364.607014,77,-14.281709671020508
1598338380.890351,78,-14.05984878540039
1598338397.212285,79,-13.954975128173828
1598338413.550216,80,-13.965537071228027
1598338431.143903,81,-14.241790771484375
1598338447.404607,82,-14.10957145690918
1598338463.666148,83,-14.35615348815918
1598338479.956293,84,-14.473020553588867
1598338496.234219,85,-14.130698204040527
1598338512.497245,86,-13.88578987121582
1598338528.770602,87,-14.639033317565918
1598338545.053255,88,-14.48180103302002
1598338561.332985,89,-14.19249153137207
